order_id,product_id,customer_id,order_date,order_quantity,order_status,warehouse_id
ORD20073,P5232744,CUST50012,2023-09-25,118,Pending,WH005
ORD20091,P3144604,CUST50068,2023-09-19,201,Delivered,WH004
ORD20023,P3049912,CUST50034,2023-08-09,255,Returned,WH007
ORD20072,P1415667,CUST50051,2023-09-25,255,Delivered,WH001
ORD20085,P2960276,CUST50001,2023-06-26,449,Returned,WH001
ORD20002,P1541825,CUST50044,2023-08-23,38,Delivered,WH005
ORD20035,P5680353,CUST50036,2023-08-10,31,Delivered,WH005
ORD20047,P3653329,CUST50057,2023-06-27,100,Delivered,WH003
ORD20014,P4017015,CUST50092,2023-07-02,347,Processing,WH002
ORD20045,P9174093,CUST50004,2023-08-09,157,Cancelled,WH002
ORD20014,P5375017,CUST50056,2023-07-06,233,Cancelled,WH004
ORD20085,P9196049,CUST50065,2023-08-22,396,Delivered,WH002
ORD20040,P1099084,CUST50062,2023-06-03,432,Shipped,WH007
ORD20023,P8335330,CUST50063,2023-08-02,151,Cancelled,WH007
ORD20077,P6939265,CUST50096,2023-06-14,458,Returned,WH009
ORD20070,P5038963,CUST50049,2023-06-23,364,Cancelled,WH001
ORD20018,P9877549,CUST50083,2023-06-27,122,Returned,WH009
ORD20098,P3183953,CUST50062,2023-07-04,212,Shipped,WH005
ORD20090,P1298126,CUST50005,2023-06-01,103,Cancelled,WH009
ORD20068,P7787796,CUST50034,2023-08-23,413,Processing,WH010
ORD20017,P0747940,CUST50067,2023-06-28,125,Delivered,WH002
ORD20017,P1022751,CUST50047,2023-06-12,37,Processing,WH008
ORD20087,P5307375,CUST50019,2023-08-08,273,Returned,WH009
ORD20061,P2801223,CUST50015,2023-09-02,456,Returned,WH003
ORD20046,P6254929,CUST50093,2023-08-19,254,Cancelled,WH009
ORD20060,P8932923,CUST50035,2023-07-19,215,Delivered,WH003
ORD20013,P5719374,CUST50006,2023-09-10,459,Shipped,WH003
ORD20042,P7978073,CUST50062,2023-08-21,208,Returned,WH003
ORD20018,P0062044,CUST50072,2023-06-28,384,Cancelled,WH008
ORD20039,P9785518,CUST50060,2023-08-24,341,Pending,WH006
ORD20035,P1795907,CUST50094,2023-09-05,38,Delivered,WH007
ORD20066,P3136603,CUST50067,2023-07-20,131,Processing,WH007
ORD20092,P0173979,CUST50004,2023-06-06,385,Cancelled,WH004
ORD20001,P3628602,CUST50048,2023-09-29,216,Shipped,WH003
ORD20026,P9064382,CUST50048,2023-07-18,43,Processing,WH006
ORD20001,P9461512,CUST50067,2023-08-18,63,Shipped,WH002
ORD20083,P7929627,CUST50088,2023-09-14,427,Returned,WH005
ORD20031,P7748301,CUST50006,2023-06-28,353,Cancelled,WH004
ORD20019,P9244228,CUST50064,2023-06-07,57,Shipped,WH003
ORD20046,P3625509,CUST50094,2023-07-19,297,Returned,WH001
ORD20069,P7640300,CUST50073,2023-07-02,278,Processing,WH006
ORD20035,P8616807,CUST50064,2023-09-08,414,Shipped,WH008
ORD20099,P8677045,CUST50065,2023-08-01,453,Delivered,WH007
ORD20083,P3470392,CUST50007,2023-06-01,307,Processing,WH001
ORD20010,P5813866,CUST50052,2023-08-17,140,Processing,WH006
ORD20000,P2823500,CUST50011,2023-08-09,312,Delivered,WH006
ORD20029,P8062758,CUST50071,2023-09-08,424,Shipped,WH008
ORD20001,P5308926,CUST50069,2023-09-16,51,Returned,WH006
ORD20038,P1578458,CUST50030,2023-06-22,393,Returned,WH001
ORD20021,P9046301,CUST50022,2023-08-12,441,Delivered,WH002
ORD20059,P9632522,CUST50074,2023-08-15,199,Cancelled,WH005
ORD20082,P4626617,CUST50005,2023-06-29,193,Delivered,WH006
ORD20079,P5216820,CUST50024,2023-09-24,237,Cancelled,WH001
ORD20054,P0048699,CUST50069,2023-09-05,283,Pending,WH009
ORD20014,P9109254,CUST50073,2023-06-11,113,Pending,WH008
ORD20059,P7423097,CUST50081,2023-09-06,223,Shipped,WH008
ORD20008,P4586176,CUST50033,2023-07-26,136,Cancelled,WH008
ORD20088,P1789345,CUST50023,2023-06-18,437,Shipped,WH003
ORD20097,P7031788,CUST50045,2023-08-05,496,Shipped,WH006
ORD20000,P9480024,CUST50035,2023-06-07,464,Returned,WH005
ORD20003,P6124173,CUST50073,2023-07-11,340,Delivered,WH004
ORD20098,P0214973,CUST50069,2023-09-13,438,Delivered,WH009
ORD20041,P6633523,CUST50048,2023-08-21,430,Shipped,WH003
ORD20059,P9791242,CUST50028,2023-08-11,178,Returned,WH006
ORD20070,P1807232,CUST50006,2023-09-12,268,Cancelled,WH007
ORD20016,P5346013,CUST50047,2023-08-29,314,Pending,WH001
ORD20094,P5375017,CUST50021,2023-08-14,161,Shipped,WH004
ORD20010,P2801223,CUST50014,2023-07-02,287,Delivered,WH003
ORD20054,P1109909,CUST50037,2023-06-19,330,Processing,WH006
ORD20082,P2516340,CUST50015,2023-07-17,227,Shipped,WH005
ORD20034,P2482274,CUST50037,2023-08-18,224,Processing,WH010
ORD20046,P2268803,CUST50052,2023-06-16,296,Cancelled,WH004
ORD20009,P3737314,CUST50042,2023-09-26,201,Returned,WH007
ORD20078,P7335560,CUST50070,2023-08-24,241,Delivered,WH009
ORD20034,P9820513,CUST50092,2023-06-10,140,Delivered,WH004
ORD20024,P4162585,CUST50047,2023-06-13,329,Returned,WH007
ORD20047,P3129645,CUST50069,2023-08-04,292,Processing,WH005
ORD20075,P5694167,CUST50009,2023-08-02,432,Returned,WH007
ORD20014,P2378289,CUST50009,2023-06-18,479,Cancelled,WH010
ORD20070,P0692011,CUST50040,2023-08-21,76,Delivered,WH005
ORD20087,P7669018,CUST50073,2023-08-11,132,Processing,WH008
ORD20009,P7346402,CUST50024,2023-08-30,171,Shipped,WH009
ORD20007,P2996607,CUST50023,2023-06-29,492,Processing,WH007
ORD20058,P5766242,CUST50055,2023-09-10,34,Shipped,WH008
ORD20063,P4266362,CUST50072,2023-08-14,488,Shipped,WH008
ORD20018,P4725029,CUST50100,2023-08-14,128,Shipped,WH005
ORD20077,P3084959,CUST50016,2023-08-26,27,Delivered,WH003
ORD20091,P9673517,CUST50002,2023-06-24,42,Cancelled,WH007
ORD20083,P5710684,CUST50011,2023-08-07,343,Shipped,WH005
ORD20001,P3842172,CUST50079,2023-09-14,306,Pending,WH006
ORD20066,P3297487,CUST50073,2023-09-13,144,Processing,WH008
ORD20046,P5861428,CUST50085,2023-07-18,342,Returned,WH005
ORD20076,P8255458,CUST50044,2023-07-16,171,Pending,WH005
ORD20017,P9197014,CUST50011,2023-06-10,467,Processing,WH002
ORD20052,P2251027,CUST50082,2023-09-09,141,Cancelled,WH002
ORD20066,P9716670,CUST50084,2023-07-15,304,Cancelled,WH001
ORD20006,P4906672,CUST50044,2023-06-08,27,Processing,WH003
ORD20098,P6509883,CUST50056,2023-09-26,484,Delivered,WH010
ORD20052,P2946421,CUST50049,2023-06-26,262,Processing,WH008
ORD20043,P0940674,CUST50089,2023-09-01,453,Processing,WH010
ORD20016,P6783858,CUST50018,2023-09-20,307,Shipped,WH001
ORD20014,P7787796,CUST50031,2023-09-28,43,Cancelled,WH010
ORD20051,P6850261,CUST50046,2023-08-16,280,Pending,WH004
ORD20011,P0925057,CUST50032,2023-08-16,251,Processing,WH006
ORD20066,P2946421,CUST50012,2023-08-21,55,Cancelled,WH008
ORD20001,P6658603,CUST50068,2023-06-30,230,Shipped,WH005
ORD20034,P7329701,CUST50058,2023-08-27,86,Processing,WH005
ORD20010,P8038221,CUST50045,2023-06-07,191,Processing,WH009
ORD20036,P6143056,CUST50061,2023-06-17,140,Processing,WH002
ORD20070,P3313343,CUST50071,2023-07-11,330,Processing,WH003
ORD20085,P1099084,CUST50056,2023-06-20,485,Cancelled,WH007
ORD20033,P2516340,CUST50077,2023-08-29,65,Shipped,WH005
ORD20051,P1663004,CUST50043,2023-08-29,156,Returned,WH006
ORD20064,P6365037,CUST50080,2023-09-17,135,Processing,WH005
ORD20052,P9394796,CUST50035,2023-08-04,253,Shipped,WH004
ORD20001,P8206762,CUST50002,2023-06-13,69,Pending,WH002
ORD20056,P6604598,CUST50094,2023-07-10,191,Pending,WH006
ORD20008,P6722473,CUST50034,2023-09-23,163,Delivered,WH008
ORD20027,P3614072,CUST50037,2023-06-13,77,Processing,WH002
ORD20058,P9944630,CUST50034,2023-07-05,282,Cancelled,WH010
ORD20007,P5076025,CUST50086,2023-07-08,73,Pending,WH002
ORD20021,P8446346,CUST50056,2023-06-24,100,Processing,WH010
ORD20068,P9716482,CUST50018,2023-08-10,251,Shipped,WH004
ORD20071,P3584496,CUST50035,2023-07-15,44,Pending,WH004
ORD20003,P3737314,CUST50025,2023-06-06,493,Processing,WH007
ORD20079,P4431700,CUST50091,2023-09-04,371,Shipped,WH005
ORD20046,P2482274,CUST50003,2023-09-05,305,Shipped,WH010
ORD20040,P6467430,CUST50034,2023-08-08,317,Returned,WH004
ORD20041,P5700862,CUST50099,2023-06-05,24,Pending,WH009
ORD20011,P3070173,CUST50084,2023-09-05,451,Pending,WH001
ORD20078,P3740261,CUST50084,2023-07-20,342,Pending,WH007
ORD20015,P4288853,CUST50013,2023-07-27,372,Delivered,WH004
ORD20049,P8682945,CUST50063,2023-06-07,406,Delivered,WH010
ORD20085,P5140195,CUST50097,2023-07-17,52,Returned,WH002
ORD20085,P8362715,CUST50052,2023-09-15,17,Shipped,WH005
ORD20051,P1619195,CUST50039,2023-08-11,370,Processing,WH001
ORD20074,P0629481,CUST50031,2023-08-21,76,Delivered,WH007
ORD20034,P5537029,CUST50048,2023-07-17,428,Shipped,WH003
ORD20036,P3192927,CUST50068,2023-06-06,356,Shipped,WH006
ORD20072,P2996607,CUST50001,2023-06-01,275,Returned,WH007
ORD20073,P0992879,CUST50037,2023-07-04,325,Returned,WH006
ORD20073,P2700594,CUST50072,2023-06-05,312,Processing,WH010
ORD20090,P4288853,CUST50076,2023-07-26,346,Processing,WH004
ORD20032,P1022751,CUST50013,2023-06-16,373,Delivered,WH008
ORD20069,P9737851,CUST50020,2023-06-27,344,Processing,WH009
ORD20030,P7123862,CUST50050,2023-06-27,64,Shipped,WH004
ORD20002,P2249945,CUST50062,2023-06-28,312,Processing,WH008
ORD20078,P9224141,CUST50005,2023-06-06,45,Pending,WH005
ORD20028,P2746719,CUST50054,2023-09-29,466,Delivered,WH008
ORD20030,P4850914,CUST50033,2023-09-02,345,Processing,WH009
ORD20077,P7481854,CUST50085,2023-08-14,420,Shipped,WH004
ORD20075,P5537029,CUST50090,2023-09-06,284,Processing,WH003
ORD20082,P8123352,CUST50090,2023-07-22,194,Returned,WH006
ORD20024,P5518807,CUST50047,2023-07-03,221,Cancelled,WH006
ORD20024,P1967376,CUST50090,2023-09-14,374,Pending,WH007
ORD20014,P7919198,CUST50034,2023-08-31,295,Returned,WH009
ORD20064,P5307375,CUST50091,2023-06-22,189,Pending,WH009
ORD20048,P1309312,CUST50078,2023-06-17,356,Shipped,WH010
ORD20008,P7586946,CUST50096,2023-07-14,164,Cancelled,WH006
ORD20070,P7047687,CUST50032,2023-06-15,310,Shipped,WH004
ORD20099,P3616114,CUST50020,2023-07-22,60,Delivered,WH008
ORD20016,P1509844,CUST50046,2023-08-25,498,Shipped,WH001
ORD20033,P2708531,CUST50029,2023-08-17,126,Shipped,WH004
ORD20003,P5834933,CUST50087,2023-08-29,327,Pending,WH001
ORD20035,P8775552,CUST50020,2023-07-09,382,Processing,WH009
ORD20003,P2746719,CUST50083,2023-07-13,344,Delivered,WH008
ORD20034,P1662206,CUST50061,2023-08-19,408,Pending,WH001
ORD20009,P9756399,CUST50092,2023-06-21,371,Delivered,WH004
ORD20026,P2823500,CUST50032,2023-09-08,42,Pending,WH006
ORD20000,P8236456,CUST50091,2023-06-08,216,Pending,WH003
ORD20022,P4614971,CUST50051,2023-06-10,347,Cancelled,WH001
ORD20052,P3513246,CUST50084,2023-09-03,427,Processing,WH010
ORD20024,P7779594,CUST50077,2023-09-28,37,Processing,WH003
ORD20079,P7272808,CUST50017,2023-09-08,98,Returned,WH006
ORD20073,P1545195,CUST50028,2023-09-15,226,Pending,WH006
ORD20076,P8496983,CUST50085,2023-06-22,350,Processing,WH003
ORD20079,P9780400,CUST50008,2023-06-06,103,Returned,WH004
ORD20058,P1171178,CUST50056,2023-07-11,418,Delivered,WH002
ORD20093,P8100324,CUST50075,2023-07-26,388,Cancelled,WH009
ORD20001,P6783858,CUST50034,2023-07-14,195,Returned,WH001
ORD20050,P9716670,CUST50070,2023-06-25,205,Cancelled,WH001
ORD20050,P7686562,CUST50049,2023-09-13,71,Delivered,WH009
ORD20025,P6189007,CUST50068,2023-06-21,454,Returned,WH001
ORD20065,P9737851,CUST50023,2023-09-11,270,Returned,WH009
ORD20052,P8682547,CUST50023,2023-07-26,385,Pending,WH010
ORD20004,P6148472,CUST50014,2023-06-13,208,Shipped,WH004
ORD20042,P3179855,CUST50054,2023-07-12,317,Shipped,WH001
ORD20040,P0334236,CUST50078,2023-08-13,83,Shipped,WH007
ORD20006,P9720186,CUST50052,2023-09-10,92,Pending,WH007
ORD20029,P8723025,CUST50047,2023-09-27,29,Delivered,WH002
ORD20024,P2328541,CUST50096,2023-09-04,209,Shipped,WH004
ORD20002,P6467430,CUST50018,2023-09-03,500,Delivered,WH004
ORD20093,P0077916,CUST50053,2023-08-21,277,Processing,WH004
ORD20093,P3062205,CUST50095,2023-07-18,44,Cancelled,WH006
ORD20069,P0486394,CUST50034,2023-06-17,170,Pending,WH002
ORD20005,P2238339,CUST50020,2023-09-19,207,Shipped,WH006
ORD20092,P6602601,CUST50034,2023-06-01,32,Shipped,WH010
ORD20092,P7738234,CUST50022,2023-06-30,423,Processing,WH010
ORD20056,P4370791,CUST50033,2023-07-11,374,Pending,WH006
ORD20049,P2960276,CUST50047,2023-09-20,246,Pending,WH001
ORD20099,P9109254,CUST50006,2023-06-26,256,Cancelled,WH008
ORD20072,P9196049,CUST50015,2023-08-31,189,Processing,WH002
ORD20010,P3287068,CUST50047,2023-07-09,342,Processing,WH002
ORD20056,P1157890,CUST50068,2023-08-09,145,Processing,WH002
ORD20086,P9589215,CUST50049,2023-07-03,370,Processing,WH004
ORD20035,P5088656,CUST50040,2023-09-14,405,Shipped,WH003
ORD20023,P0173979,CUST50059,2023-07-20,441,Delivered,WH004
ORD20089,P2725372,CUST50028,2023-09-19,22,Delivered,WH002
ORD20036,P4440945,CUST50097,2023-08-27,484,Cancelled,WH006
ORD20060,P9475711,CUST50086,2023-09-13,78,Pending,WH003
ORD20089,P6329362,CUST50064,2023-09-15,490,Returned,WH009
ORD20051,P6705834,CUST50072,2023-06-16,398,Returned,WH006
ORD20028,P1204228,CUST50088,2023-07-13,138,Shipped,WH005
ORD20051,P4480494,CUST50072,2023-07-23,500,Processing,WH004
ORD20053,P1417867,CUST50092,2023-08-22,431,Delivered,WH005
ORD20060,P0901248,CUST50038,2023-08-27,404,Delivered,WH001
ORD20062,P0097778,CUST50040,2023-07-15,25,Pending,WH006
ORD20063,P1684495,CUST50043,2023-09-01,388,Cancelled,WH010
ORD20094,P1642247,CUST50090,2023-06-26,132,Delivered,WH006
ORD20020,P6633523,CUST50075,2023-07-20,112,Returned,WH003
ORD20014,P1417867,CUST50041,2023-08-18,364,Returned,WH005
ORD20088,P3856099,CUST50020,2023-09-01,90,Returned,WH010
ORD20084,P6010049,CUST50093,2023-07-26,299,Returned,WH001
ORD20032,P9817595,CUST50066,2023-07-28,383,Processing,WH001
ORD20062,P9254323,CUST50011,2023-07-20,451,Processing,WH002
ORD20066,P3904989,CUST50070,2023-09-06,457,Pending,WH009
ORD20063,P5323624,CUST50055,2023-06-05,161,Processing,WH005
ORD20004,P7868929,CUST50086,2023-06-11,347,Shipped,WH006
ORD20024,P3361639,CUST50010,2023-07-02,343,Cancelled,WH005
ORD20000,P9632522,CUST50060,2023-07-17,382,Delivered,WH005
ORD20091,P9004988,CUST50094,2023-07-24,277,Processing,WH005
ORD20023,P3297487,CUST50014,2023-08-09,219,Shipped,WH008
ORD20021,P7900100,CUST50004,2023-09-04,322,Cancelled,WH002
ORD20093,P1415667,CUST50099,2023-09-05,237,Shipped,WH001
ORD20017,P0692011,CUST50023,2023-07-09,358,Shipped,WH005
ORD20027,P1933161,CUST50081,2023-07-31,159,Shipped,WH009
ORD20001,P6302883,CUST50077,2023-06-02,273,Returned,WH001
ORD20013,P3058653,CUST50082,2023-07-31,202,Cancelled,WH007
ORD20081,P6793261,CUST50048,2023-09-03,426,Pending,WH005
ORD20090,P4370791,CUST50086,2023-09-17,367,Cancelled,WH006
ORD20022,P9472224,CUST50008,2023-08-17,355,Pending,WH007
ORD20043,P7766398,CUST50033,2023-08-04,29,Returned,WH005
ORD20002,P7048590,CUST50045,2023-08-20,186,Pending,WH006
ORD20055,P2482274,CUST50034,2023-06-12,73,Returned,WH010
ORD20059,P0334236,CUST50013,2023-06-23,90,Processing,WH007
ORD20066,P6444163,CUST50023,2023-07-31,323,Processing,WH007
ORD20085,P9632611,CUST50094,2023-06-14,327,Returned,WH009
ORD20010,P8236456,CUST50085,2023-07-28,90,Pending,WH003
ORD20074,P4744341,CUST50037,2023-07-06,135,Shipped,WH002
ORD20048,P2903273,CUST50004,2023-06-25,349,Pending,WH006
ORD20090,P9949564,CUST50060,2023-06-03,341,Delivered,WH006
ORD20021,P9816998,CUST50011,2023-07-09,468,Delivered,WH010
ORD20084,P4996785,CUST50048,2023-06-02,280,Pending,WH006
ORD20094,P4988582,CUST50068,2023-09-23,55,Delivered,WH006
ORD20057,P7699903,CUST50003,2023-06-14,161,Pending,WH009
ORD20067,P1150045,CUST50065,2023-09-09,151,Cancelled,WH004
ORD20052,P7932618,CUST50032,2023-09-27,110,Pending,WH008
ORD20079,P8979534,CUST50013,2023-08-24,162,Delivered,WH004
ORD20025,P3534297,CUST50064,2023-07-08,215,Pending,WH003
ORD20077,P1678125,CUST50036,2023-07-13,165,Pending,WH007
ORD20057,P2847870,CUST50057,2023-09-22,237,Pending,WH006
ORD20062,P3470392,CUST50017,2023-08-24,33,Cancelled,WH001
ORD20025,P9720186,CUST50040,2023-07-12,167,Returned,WH007
ORD20059,P9766725,CUST50096,2023-06-05,145,Shipped,WH002
ORD20015,P3963896,CUST50029,2023-06-28,466,Cancelled,WH003
ORD20031,P9632522,CUST50018,2023-09-09,354,Delivered,WH005
ORD20025,P4266362,CUST50060,2023-08-01,194,Cancelled,WH008
ORD20095,P7320646,CUST50007,2023-08-16,76,Returned,WH009
ORD20009,P9343708,CUST50094,2023-06-26,383,Cancelled,WH006
ORD20041,P8590060,CUST50054,2023-06-17,158,Delivered,WH005
ORD20062,P4206020,CUST50009,2023-08-14,392,Processing,WH003
ORD20052,P3261342,CUST50100,2023-07-20,299,Cancelled,WH003
ORD20058,P9765747,CUST50003,2023-08-31,322,Shipped,WH009
ORD20031,P5948392,CUST50091,2023-08-31,377,Shipped,WH008
ORD20043,P9467069,CUST50016,2023-06-05,276,Pending,WH007
ORD20071,P5023449,CUST50083,2023-07-12,209,Pending,WH004
ORD20079,P3856099,CUST50071,2023-09-09,67,Delivered,WH010
ORD20026,P0940674,CUST50076,2023-06-01,65,Returned,WH010
ORD20036,P6705834,CUST50068,2023-07-26,96,Delivered,WH006
ORD20009,P4545872,CUST50045,2023-06-17,69,Pending,WH006
ORD20020,P0503498,CUST50097,2023-08-23,227,Shipped,WH006
ORD20057,P2930647,CUST50052,2023-06-11,147,Pending,WH006
ORD20077,P6634567,CUST50092,2023-06-09,255,Shipped,WH009
ORD20008,P2956541,CUST50038,2023-08-10,125,Pending,WH005
ORD20038,P9545091,CUST50046,2023-09-25,276,Shipped,WH010
ORD20075,P7128644,CUST50008,2023-09-15,52,Delivered,WH007
ORD20042,P9678453,CUST50029,2023-07-30,219,Shipped,WH001
ORD20024,P3954945,CUST50035,2023-08-01,500,Returned,WH010
ORD20089,P5402836,CUST50025,2023-09-23,270,Processing,WH005
ORD20014,P6300035,CUST50094,2023-06-22,438,Returned,WH004
ORD20053,P4614971,CUST50011,2023-08-30,50,Cancelled,WH001
ORD20019,P8123352,CUST50067,2023-09-24,268,Cancelled,WH006
ORD20023,P0759885,CUST50097,2023-09-07,137,Cancelled,WH003
ORD20006,P2900157,CUST50009,2023-07-14,22,Delivered,WH003
ORD20066,P7047687,CUST50030,2023-09-03,159,Shipped,WH004
ORD20064,P1538548,CUST50010,2023-07-18,412,Processing,WH002
ORD20011,P9467454,CUST50069,2023-09-27,13,Delivered,WH008
ORD20046,P0075348,CUST50098,2023-08-01,24,Pending,WH007
ORD20009,P1438976,CUST50038,2023-09-17,130,Processing,WH003
ORD20042,P5948392,CUST50086,2023-08-31,132,Cancelled,WH008
ORD20017,P3842172,CUST50027,2023-07-04,264,Delivered,WH006
ORD20041,P3390328,CUST50012,2023-09-08,226,Processing,WH007
ORD20052,P1417867,CUST50084,2023-08-20,479,Returned,WH005
ORD20020,P9299294,CUST50017,2023-07-15,136,Pending,WH006
ORD20070,P5346013,CUST50091,2023-08-01,451,Returned,WH001
ORD20018,P5608692,CUST50042,2023-08-22,111,Delivered,WH009
ORD20017,P2378289,CUST50036,2023-07-25,140,Delivered,WH010
ORD20054,P7616133,CUST50035,2023-06-03,287,Shipped,WH005
ORD20031,P2763211,CUST50068,2023-07-25,461,Cancelled,WH006
ORD20028,P8368135,CUST50022,2023-07-12,302,Shipped,WH007
ORD20007,P3792056,CUST50080,2023-06-19,343,Pending,WH010
ORD20057,P8362715,CUST50012,2023-06-12,478,Pending,WH005
ORD20058,P9045275,CUST50028,2023-07-11,425,Delivered,WH001
ORD20044,P9005488,CUST50004,2023-07-17,267,Cancelled,WH006
ORD20023,P2238339,CUST50100,2023-09-07,284,Pending,WH006
ORD20013,P1743121,CUST50083,2023-07-23,406,Pending,WH007
ORD20053,P2869360,CUST50098,2023-06-02,250,Cancelled,WH006
ORD20009,P8759279,CUST50015,2023-06-23,219,Cancelled,WH007
ORD20068,P8723025,CUST50083,2023-06-12,243,Processing,WH002
ORD20059,P6994038,CUST50006,2023-07-02,347,Delivered,WH007
ORD20053,P4988582,CUST50086,2023-07-04,275,Shipped,WH006
ORD20057,P7633970,CUST50028,2023-09-22,13,Pending,WH010
ORD20068,P7446608,CUST50085,2023-07-29,357,Delivered,WH010
ORD20053,P7669018,CUST50039,2023-07-12,95,Processing,WH008
ORD20006,P2960276,CUST50018,2023-08-03,247,Returned,WH001
ORD20099,P6149483,CUST50046,2023-09-16,412,Pending,WH007
ORD20073,P7833798,CUST50069,2023-06-18,89,Processing,WH006
ORD20026,P4203858,CUST50099,2023-08-09,220,Returned,WH002
ORD20037,P9632611,CUST50028,2023-08-10,221,Returned,WH009
ORD20064,P2927011,CUST50014,2023-08-23,111,Shipped,WH005
ORD20047,P4137769,CUST50028,2023-06-03,418,Processing,WH009
ORD20092,P6253036,CUST50006,2023-07-31,434,Shipped,WH001
ORD20088,P8229193,CUST50030,2023-07-17,149,Cancelled,WH008
ORD20063,P9343708,CUST50062,2023-07-06,205,Pending,WH006
ORD20046,P1217297,CUST50015,2023-07-12,499,Pending,WH007
ORD20032,P8229193,CUST50002,2023-06-15,119,Returned,WH008
ORD20056,P0692011,CUST50096,2023-06-07,131,Cancelled,WH005
ORD20065,P0811049,CUST50007,2023-08-10,334,Returned,WH001
ORD20022,P3641246,CUST50054,2023-09-06,383,Pending,WH004
ORD20016,P9815730,CUST50038,2023-07-03,356,Shipped,WH002
ORD20023,P0687542,CUST50030,2023-07-20,422,Delivered,WH004
ORD20084,P8062758,CUST50041,2023-06-14,100,Shipped,WH008
ORD20012,P9988001,CUST50056,2023-09-20,164,Shipped,WH002
ORD20023,P3947976,CUST50059,2023-06-16,211,Processing,WH010
ORD20076,P5106522,CUST50016,2023-06-07,236,Processing,WH003
ORD20010,P7335560,CUST50031,2023-09-04,58,Delivered,WH009
ORD20000,P4992259,CUST50025,2023-08-20,347,Shipped,WH008
ORD20051,P0259116,CUST50048,2023-09-20,322,Processing,WH007
ORD20037,P3623760,CUST50004,2023-09-23,176,Delivered,WH006
ORD20093,P1099084,CUST50018,2023-09-03,174,Shipped,WH007
ORD20097,P9885944,CUST50084,2023-09-03,185,Cancelled,WH008
ORD20042,P5776364,CUST50070,2023-07-03,200,Delivered,WH008
ORD20016,P5257846,CUST50004,2023-06-05,60,Delivered,WH007
ORD20070,P3457897,CUST50002,2023-08-29,246,Delivered,WH005
ORD20000,P1522613,CUST50047,2023-08-01,211,Cancelled,WH006
ORD20072,P2283431,CUST50006,2023-08-14,108,Delivered,WH007
ORD20055,P3064268,CUST50064,2023-06-18,366,Shipped,WH005
ORD20025,P2080497,CUST50012,2023-08-01,372,Delivered,WH001
ORD20014,P7272808,CUST50034,2023-08-06,326,Cancelled,WH006
ORD20074,P5076025,CUST50042,2023-06-30,66,Delivered,WH002
ORD20035,P2956048,CUST50093,2023-06-23,77,Shipped,WH003
ORD20036,P2617630,CUST50044,2023-06-06,366,Returned,WH005
ORD20073,P6633523,CUST50016,2023-09-11,478,Delivered,WH003
