product_id,product_name,category,supplier_id,warehouse_id,stock_quantity,reorder_level,last_restock_date
P6464437,Surface Cleaner - Mint,Home Care,SUP40006,WH010,1864,497,2022-11-14
P8349162,Baby Diapers - 1L,Kitchen Care,SUP40007,WH010,221,45,2023-04-13
P2619201,Laundry Detergent - 1L,Kitchen Care,SUP40006,WH006,1753,197,2023-06-28
P3202193,Bleach - 1L,Baby Care,SUP40009,WH005,385,98,2022-04-25
P6437224,Surface Cleaner - Small,Home Care,SUP40009,WH001,478,101,2022-06-22
P9461512,Hand Soap - Mint,Oral Care,SUP40007,WH002,1823,492,2022-10-31
P2765990,Floor Cleaner - Aloe,Laundry,SUP40001,WH004,106,23,2022-01-15
P4431700,Toilet Cleaner - Small,Hair Care,SUP40004,WH005,1381,230,2022-07-14
P9786054,Baby Lotion - Lemon,Kitchen Care,SUP40004,WH009,1297,267,2022-03-26
P3616114,Hand Soap - 2L,Baby Care,SUP40002,WH008,963,108,2022-05-06
P9240792,Floor Cleaner - 2L,Personal Care,SUP40009,WH010,956,222,2023-06-26
P3625509,Glass Cleaner - Mint,Personal Care,SUP40008,WH001,1600,426,2022-01-26
P0503498,Shaving Cream - Large,Baby Care,SUP40006,WH006,384,89,2023-03-30
P3359438,Floor Cleaner - Large,Oral Care,SUP40004,WH007,619,121,2023-01-06
P6963740,Laundry Detergent - 1L,Kitchen Care,SUP40007,WH001,741,117,2022-04-01
P2191237,Glass Cleaner - Small,Kitchen Care,SUP40003,WH002,138,15,2023-06-12
P8590060,Laundry Detergent - Large,Home Care,SUP40005,WH005,918,270,2022-09-10
P5038963,Mouthwash - 1L,Personal Care,SUP40002,WH001,1453,399,2023-09-06
P5013035,Dishwashing Gel - Mint,Laundry,SUP40007,WH001,433,119,2022-05-02
P6658603,Baby Wipes - Small,Laundry,SUP40009,WH005,945,209,2022-04-07
P1788271,Toothpaste - Aloe,Hair Care,SUP40002,WH001,54,6,2022-04-28
P4374330,Floor Cleaner - 2L,Oral Care,SUP40008,WH002,1314,230,2022-01-11
P6793980,Surface Cleaner - Aloe,Laundry,SUP40004,WH002,1427,163,2022-02-10
P6273164,Hair Spray - 2L,Laundry,SUP40001,WH006,891,238,2022-06-22
P0702547,Toothpaste - Medium,Baby Care,SUP40005,WH009,893,121,2022-11-12
P6604598,Bleach - Small,Laundry,SUP40005,WH006,871,144,2023-09-29
P3592057,Dishwashing Gel - 1L,Home Care,SUP40008,WH004,795,127,2022-01-08
P6044721,Conditioner - Large,Home Care,SUP40006,WH003,1041,247,2023-05-28
P1217297,Detergent Liquid - 1L,Home Care,SUP40004,WH007,1665,453,2022-12-15
P4612212,Glass Cleaner - Herbal,Oral Care,SUP40008,WH007,720,187,2022-02-01
P8015648,Dishwashing Gel - Medium,Personal Care,SUP40008,WH007,1982,483,2023-08-15
P1619195,Fabric Softener - Small,Baby Care,SUP40004,WH001,685,185,2023-07-24
P0815511,Shampoo - Aloe,Laundry,SUP40004,WH002,703,140,2022-11-06
P2988506,Baby Lotion - 500ml,Personal Care,SUP40006,WH009,249,57,2022-12-26
P4280802,Baby Diapers - 1L,Kitchen Care,SUP40007,WH008,1109,137,2022-03-10
P7868929,Detergent Liquid - Lemon,Personal Care,SUP40007,WH006,64,15,2023-03-05
P1705389,Dental Floss - 1L,Baby Care,SUP40008,WH008,1447,219,2023-07-21
P5864769,Bleach - Herbal,Hair Care,SUP40009,WH001,289,57,2022-06-27
P8236456,Shampoo - Medium,Oral Care,SUP40002,WH003,348,80,2023-02-28
P9703137,Fabric Softener - 500ml,Oral Care,SUP40008,WH003,1804,485,2022-08-21
P9877549,Toilet Cleaner - 2L,Kitchen Care,SUP40003,WH009,1375,195,2023-08-16
P7542529,Baby Diapers - 1L,Oral Care,SUP40005,WH008,1600,184,2022-05-22
P7188796,Mouthwash - 1L,Personal Care,SUP40009,WH001,567,134,2022-01-17
P8979773,Dishwashing Gel - Mint,Oral Care,SUP40002,WH001,371,66,2022-02-05
P3932548,Detergent Liquid - Large,Kitchen Care,SUP40007,WH010,626,100,2023-09-26
P7228000,Fabric Softener - 500ml,Laundry,SUP40002,WH010,1606,217,2023-03-14
P3904989,Glass Cleaner - Aloe,Laundry,SUP40004,WH009,1212,132,2022-01-07
P9174093,Toilet Cleaner - Medium,Personal Care,SUP40008,WH002,998,237,2023-01-13
P1482267,Floor Cleaner - 500ml,Oral Care,SUP40001,WH005,197,27,2023-02-10
P2579958,Dishwashing Gel - Lemon,Home Care,SUP40005,WH009,1191,180,2022-09-27
P1960567,Mouthwash - Mint,Kitchen Care,SUP40004,WH003,1378,296,2022-05-05
P2583760,Baby Lotion - Large,Hair Care,SUP40001,WH001,923,146,2022-03-23
P3185781,Floor Cleaner - Lemon,Kitchen Care,SUP40004,WH008,166,40,2023-08-09
P3278784,Dental Floss - Mint,Hair Care,SUP40003,WH010,1768,308,2023-03-07
P8257493,Hand Soap - Aloe,Personal Care,SUP40004,WH001,1712,458,2023-08-12
P1436575,Laundry Detergent - 500ml,Personal Care,SUP400010,WH005,620,161,2023-08-01
P7530058,Surface Cleaner - Medium,Personal Care,SUP40001,WH005,266,42,2023-09-05
P1545195,Glass Cleaner - 500ml,Oral Care,SUP40006,WH006,693,91,2023-04-03
P2869360,Baby Lotion - Mint,Oral Care,SUP400010,WH006,1397,341,2022-11-16
P2792885,Dishwashing Gel - 500ml,Home Care,SUP40009,WH009,1560,259,2022-06-07
P6254929,Bleach - 1L,Home Care,SUP40002,WH009,1700,249,2023-09-20
P3283090,Shaving Cream - Medium,Laundry,SUP40005,WH010,1072,296,2022-09-11
P1599607,Dental Floss - 1L,Baby Care,SUP40004,WH010,1494,344,2023-08-06
P7744724,Hand Soap - 1L,Home Care,SUP40001,WH004,331,89,2022-04-09
P4256354,Toilet Cleaner - Medium,Hair Care,SUP40002,WH007,493,124,2022-05-12
P1603951,Shaving Cream - Mint,Laundry,SUP40009,WH004,101,22,2023-05-08
P9114413,Bleach - Lemon,Laundry,SUP40005,WH001,1443,330,2022-01-04
P7489446,Shaving Cream - 500ml,Hair Care,SUP40002,WH007,1155,305,2023-08-23
P3800338,Baby Lotion - Lemon,Personal Care,SUP40006,WH008,1071,259,2022-05-11
P1801826,Baby Lotion - Large,Hair Care,SUP40008,WH003,993,213,2022-10-16
P3069609,Baby Lotion - 2L,Kitchen Care,SUP40003,WH009,284,82,2023-08-24
P0094931,Baby Diapers - 2L,Kitchen Care,SUP400010,WH001,1471,406,2023-03-29
P8682945,Shampoo - 500ml,Baby Care,SUP40002,WH010,326,32,2022-08-24
P6444163,Dental Floss - Lemon,Oral Care,SUP40003,WH007,82,23,2022-04-14
P3571009,Dental Floss - Lemon,Laundry,SUP40008,WH010,1269,128,2023-06-26
P8579388,Dental Floss - Aloe,Home Care,SUP40005,WH009,1995,232,2022-12-10
P1705949,Dishwashing Gel - 2L,Baby Care,SUP40002,WH009,1902,564,2023-08-04
P0047626,Toothpaste - Large,Laundry,SUP40008,WH010,1299,215,2022-04-19
P6499504,Shampoo - Small,Laundry,SUP40004,WH010,1618,173,2022-03-12
P8285960,Shaving Cream - Small,Hair Care,SUP40002,WH001,863,121,2023-02-16
P1438976,Dental Floss - 500ml,Laundry,SUP400010,WH003,1223,127,2022-02-04
P7340075,Shampoo - Herbal,Personal Care,SUP40005,WH009,379,69,2023-07-18
P0313021,Glass Cleaner - 1L,Hair Care,SUP400010,WH003,835,201,2023-07-10
P2801223,Laundry Detergent - Large,Baby Care,SUP40002,WH003,1399,192,2022-07-18
P6937125,Surface Cleaner - 500ml,Oral Care,SUP400010,WH010,1629,168,2023-01-29
P7833798,Baby Lotion - Large,Baby Care,SUP40009,WH006,96,11,2022-12-18
P4480494,Conditioner - 1L,Baby Care,SUP40007,WH004,1890,359,2022-04-05
P5962528,Floor Cleaner - 2L,Kitchen Care,SUP40009,WH005,1863,289,2022-07-02
P6944855,Surface Cleaner - Lemon,Home Care,SUP40003,WH005,848,104,2022-07-14
P1298126,Toilet Cleaner - Mint,Personal Care,SUP40006,WH009,1744,353,2023-07-25
P0173979,Fabric Softener - 500ml,Kitchen Care,SUP40001,WH004,60,13,2022-11-05
P7864848,Mouthwash - 500ml,Baby Care,SUP40002,WH007,570,141,2022-11-08
P8717184,Baby Diapers - 1L,Home Care,SUP40002,WH006,1975,442,2022-12-17
P6780995,Glass Cleaner - 1L,Home Care,SUP40009,WH004,626,142,2022-03-07
P9487943,Glass Cleaner - Herbal,Home Care,SUP40001,WH002,587,169,2022-03-20
P8993912,Hair Spray - Lemon,Baby Care,SUP40004,WH010,1154,115,2023-05-21
P4906672,Shampoo - Large,Home Care,SUP40004,WH003,493,90,2022-05-20
P0928112,Fabric Softener - Small,Baby Care,SUP40001,WH008,1235,221,2022-09-15
P2621374,Floor Cleaner - Mint,Hair Care,SUP40001,WH008,1791,303,2023-02-14
P5289534,Fabric Softener - Aloe,Home Care,SUP40008,WH008,1579,336,2022-02-07
P1693160,Fabric Softener - Large,Laundry,SUP40005,WH007,540,94,2022-08-05
P2818696,Laundry Detergent - 500ml,Hair Care,SUP40007,WH005,614,87,2022-01-14
P9885988,Bleach - 500ml,Baby Care,SUP40003,WH002,660,149,2023-06-12
P4988582,Dental Floss - Herbal,Personal Care,SUP400010,WH006,362,57,2022-11-13
P5445786,Baby Wipes - Aloe,Baby Care,SUP40009,WH006,1731,395,2023-03-17
P3653329,Detergent Liquid - Aloe,Home Care,SUP40006,WH003,1375,347,2022-11-20
P4440945,Glass Cleaner - Large,Personal Care,SUP40004,WH006,1013,146,2022-01-21
P0712052,Hand Soap - 500ml,Personal Care,SUP40003,WH007,1253,235,2022-05-01
P4965698,Toilet Cleaner - Large,Laundry,SUP40001,WH004,138,33,2022-04-28
P7932618,Dental Floss - Medium,Personal Care,SUP40007,WH008,1385,323,2023-03-09
P7724561,Conditioner - Small,Oral Care,SUP40006,WH009,431,64,2023-03-22
P3388153,Dishwashing Gel - Aloe,Hair Care,SUP40009,WH009,422,123,2022-01-18
P2708531,Conditioner - Aloe,Oral Care,SUP400010,WH004,136,30,2022-07-02
P8241679,Laundry Detergent - Medium,Home Care,SUP40009,WH006,497,93,2023-04-28
P4908178,Laundry Detergent - 2L,Personal Care,SUP400010,WH003,1298,300,2022-08-21
P7329701,Toilet Cleaner - Herbal,Kitchen Care,SUP40009,WH005,450,78,2022-11-11
P3623760,Hand Soap - Lemon,Kitchen Care,SUP40006,WH006,1537,295,2023-06-02
P6010049,Hand Soap - 2L,Personal Care,SUP400010,WH001,625,140,2023-08-28
P3369228,Baby Diapers - Mint,Home Care,SUP40001,WH001,1580,195,2022-05-10
P2264969,Fabric Softener - Herbal,Hair Care,SUP40009,WH006,428,117,2023-07-18
P4996785,Conditioner - 2L,Personal Care,SUP40007,WH006,1484,375,2023-02-04
P1304771,Detergent Liquid - 500ml,Baby Care,SUP40001,WH006,1302,371,2022-04-18
P3297487,Shaving Cream - Mint,Baby Care,SUP40005,WH008,1747,355,2022-04-06
P6182993,Surface Cleaner - Mint,Kitchen Care,SUP40003,WH001,79,14,2022-09-10
P8123352,Conditioner - Aloe,Personal Care,SUP40005,WH006,1893,395,2023-08-21
P9004988,Shaving Cream - 500ml,Home Care,SUP40009,WH005,1647,266,2022-09-04
P0884837,Laundry Detergent - 1L,Personal Care,SUP40001,WH005,1805,482,2023-08-12
P7102597,Toilet Cleaner - Lemon,Hair Care,SUP40008,WH010,878,207,2022-03-28
P0546774,Surface Cleaner - Medium,Home Care,SUP40006,WH001,1159,298,2022-08-16
P9840802,Fabric Softener - Large,Personal Care,SUP40006,WH006,137,28,2022-04-05
P0075348,Laundry Detergent - Aloe,Hair Care,SUP40001,WH007,763,78,2022-09-14
P6602601,Baby Wipes - Small,Personal Care,SUP40008,WH010,1798,506,2023-01-17
P9081222,Toilet Cleaner - Mint,Baby Care,SUP40007,WH008,693,94,2022-07-04
P6138921,Shampoo - 1L,Baby Care,SUP400010,WH004,311,57,2023-03-15
P6976683,Detergent Liquid - Large,Personal Care,SUP40005,WH008,205,20,2022-01-27
P3776514,Laundry Detergent - 2L,Baby Care,SUP40008,WH004,364,83,2023-03-28
P5474929,Hair Spray - Large,Laundry,SUP40002,WH009,1658,465,2023-01-09
P7394769,Toothpaste - 1L,Oral Care,SUP40004,WH003,1535,177,2023-06-08
P6769749,Mouthwash - Lemon,Hair Care,SUP40005,WH004,1798,350,2022-01-17
P3487515,Floor Cleaner - 2L,Personal Care,SUP40009,WH002,1617,403,2022-06-18
P5608692,Shampoo - Medium,Kitchen Care,SUP40004,WH009,766,148,2023-07-23
P5106522,Glass Cleaner - Herbal,Home Care,SUP40006,WH003,1275,143,2023-06-09
P8463357,Surface Cleaner - Lemon,Home Care,SUP40006,WH010,1257,241,2023-09-16
P5680353,Baby Lotion - Small,Hair Care,SUP40007,WH005,1168,216,2022-10-31
P7278608,Baby Wipes - Small,Home Care,SUP40004,WH007,1351,306,2022-09-06
P0270965,Detergent Liquid - Mint,Baby Care,SUP400010,WH001,382,107,2022-01-30
P4405249,Shaving Cream - Medium,Laundry,SUP40009,WH010,136,19,2023-07-25
P6327563,Hand Soap - Small,Oral Care,SUP400010,WH004,147,25,2023-03-06
P0407338,Shampoo - Large,Home Care,SUP40007,WH009,753,153,2022-05-08
P5498683,Fabric Softener - Small,Home Care,SUP40007,WH010,1022,222,2022-03-16
P1696913,Shampoo - Medium,Oral Care,SUP40003,WH001,1408,407,2022-04-28
P8402787,Floor Cleaner - 1L,Oral Care,SUP40002,WH005,833,169,2022-04-15
P0919419,Baby Diapers - Small,Hair Care,SUP40004,WH003,817,169,2023-09-24
P8101945,Surface Cleaner - 2L,Hair Care,SUP40007,WH001,64,7,2022-07-13
P9182927,Baby Lotion - Mint,Baby Care,SUP40004,WH008,1085,130,2023-09-07
P5088656,Fabric Softener - Herbal,Oral Care,SUP400010,WH003,611,69,2022-08-20
P8199501,Detergent Liquid - Mint,Kitchen Care,SUP40006,WH004,1301,360,2023-03-29
P5730082,Laundry Detergent - Medium,Oral Care,SUP40003,WH006,1550,343,2023-04-07
P4585328,Baby Lotion - 2L,Personal Care,SUP40007,WH004,804,204,2022-09-28
P0020220,Baby Diapers - Herbal,Baby Care,SUP40004,WH003,1672,483,2022-01-31
P8438170,Detergent Liquid - Mint,Kitchen Care,SUP40009,WH004,1583,429,2022-11-26
P1481146,Hair Spray - 500ml,Hair Care,SUP400010,WH005,1877,315,2022-01-17
P7812720,Bleach - 1L,Kitchen Care,SUP40002,WH001,922,203,2023-03-20
P9075588,Hair Spray - Herbal,Oral Care,SUP40004,WH008,184,51,2022-06-02
P8815447,Shampoo - Herbal,Hair Care,SUP40009,WH008,306,70,2022-12-25
P3091634,Baby Diapers - Medium,Hair Care,SUP40006,WH008,1624,416,2022-11-19
P6501873,Floor Cleaner - 500ml,Laundry,SUP40007,WH010,1979,315,2023-04-04
P3721556,Baby Lotion - Aloe,Baby Care,SUP40002,WH009,1518,344,2023-05-20
P4866626,Floor Cleaner - Herbal,Personal Care,SUP40006,WH001,99,19,2023-06-02
P9129674,Conditioner - 500ml,Home Care,SUP40008,WH006,1060,279,2023-03-10
P9180120,Fabric Softener - Medium,Oral Care,SUP40008,WH002,1374,288,2023-02-01
P0348467,Toilet Cleaner - Medium,Kitchen Care,SUP40004,WH009,342,97,2022-11-07
P9684485,Floor Cleaner - 500ml,Personal Care,SUP40008,WH003,855,228,2023-07-29
P3114471,Hand Soap - Aloe,Oral Care,SUP40003,WH002,1756,505,2022-04-21
P3856099,Hair Spray - Herbal,Home Care,SUP40009,WH010,212,34,2022-04-17
P0916624,Toothpaste - Aloe,Oral Care,SUP40004,WH004,393,48,2022-06-29
P9480024,Hand Soap - Mint,Baby Care,SUP40004,WH005,1065,162,2023-05-25
P9373372,Floor Cleaner - Herbal,Home Care,SUP40004,WH004,796,88,2023-02-18
P7699903,Floor Cleaner - Aloe,Kitchen Care,SUP40009,WH009,1917,541,2023-02-05
P2746719,Hand Soap - 1L,Home Care,SUP400010,WH008,262,33,2023-09-01
P2428792,Hand Soap - 2L,Personal Care,SUP40006,WH002,794,147,2023-05-11
P4557672,Baby Lotion - Herbal,Hair Care,SUP40008,WH004,1483,396,2022-10-14
P7423097,Detergent Liquid - 2L,Hair Care,SUP40006,WH008,1799,444,2023-05-12
P2698933,Glass Cleaner - Medium,Baby Care,SUP40002,WH008,564,110,2023-09-27
P6485509,Toilet Cleaner - Mint,Baby Care,SUP40008,WH008,1478,365,2022-05-30
P0692169,Floor Cleaner - 2L,Home Care,SUP40001,WH003,1919,491,2022-08-10
P9490659,Surface Cleaner - Lemon,Baby Care,SUP40001,WH002,479,76,2023-05-28
P9885944,Floor Cleaner - Herbal,Personal Care,SUP400010,WH008,585,129,2023-02-06
P4035493,Toilet Cleaner - 2L,Home Care,SUP400010,WH001,1974,253,2023-02-27
P9419802,Mouthwash - 500ml,Hair Care,SUP40003,WH008,248,46,2022-08-15
P5948392,Baby Lotion - 1L,Laundry,SUP40001,WH008,1692,376,2022-01-15
P6178589,Conditioner - Herbal,Laundry,SUP40004,WH007,116,16,2023-04-10
P1721401,Dishwashing Gel - Large,Baby Care,SUP40001,WH010,671,98,2022-06-20
P6443166,Shampoo - Small,Kitchen Care,SUP40003,WH010,309,60,2022-11-16
P6085130,Laundry Detergent - Medium,Baby Care,SUP40003,WH002,1498,382,2022-12-23
P6031148,Detergent Liquid - 2L,Personal Care,SUP40006,WH006,1805,321,2022-02-16
P7880678,Laundry Detergent - Small,Baby Care,SUP40008,WH001,605,107,2022-03-18
P0241371,Baby Lotion - 2L,Baby Care,SUP40003,WH008,831,198,2023-03-08
P4402163,Mouthwash - Medium,Laundry,SUP40006,WH009,73,8,2023-07-28
P2272119,Bleach - 1L,Home Care,SUP40004,WH005,727,120,2023-01-28
P7314553,Baby Lotion - Herbal,Laundry,SUP40003,WH002,366,78,2022-01-02
P1978801,Detergent Liquid - Herbal,Hair Care,SUP40006,WH006,113,30,2022-09-18
P0692011,Fabric Softener - Herbal,Kitchen Care,SUP40002,WH005,1421,324,2022-12-27
P5708445,Hand Soap - Herbal,Personal Care,SUP40002,WH003,66,8,2023-08-28
P3064268,Hand Soap - 2L,Oral Care,SUP40009,WH005,1280,336,2022-03-24
P2482274,Fabric Softener - Medium,Home Care,SUP40007,WH010,1084,323,2023-03-17
P3547004,Glass Cleaner - Herbal,Personal Care,SUP40003,WH008,1067,165,2023-01-15
P3521684,Fabric Softener - Medium,Personal Care,SUP400010,WH004,1180,331,2022-10-12
P4071232,Toilet Cleaner - 500ml,Laundry,SUP40001,WH001,272,60,2022-05-29
P5419968,Baby Lotion - Small,Hair Care,SUP40009,WH009,275,29,2023-06-12
P4020358,Fabric Softener - 1L,Oral Care,SUP40006,WH009,1928,336,2023-03-08
P6341597,Shampoo - 2L,Home Care,SUP40004,WH006,677,152,2022-12-30
P3084959,Baby Lotion - Herbal,Hair Care,SUP40004,WH003,1632,311,2022-11-28
P3365085,Shampoo - Aloe,Kitchen Care,SUP400010,WH008,671,131,2022-10-17
P7363075,Baby Diapers - Medium,Baby Care,SUP40005,WH007,577,161,2022-02-10
P5196369,Glass Cleaner - 2L,Hair Care,SUP40009,WH006,908,260,2022-12-07
P6564554,Dishwashing Gel - 2L,Baby Care,SUP40008,WH005,1015,128,2022-05-07
P0542068,Surface Cleaner - 1L,Home Care,SUP40006,WH005,1092,110,2022-08-25
