shipment_id,order_id,warehouse_id,carrier,shipment_date,delivery_status
SHP30056,ORD20089,WH006,Delhivery,2023-10-04,Delivered
SHP30031,ORD20015,WH003,XPO Logistics,2023-09-23,Delayed
SHP30069,ORD20094,WH006,BlueDart,2023-10-06,Delivered
SHP30046,ORD20034,WH008,Delhivery,2023-09-09,In Transit
SHP30009,ORD20072,WH007,UPS,2023-10-12,Out for Delivery
SHP30062,ORD20037,WH007,Kuehne + Nagel,2023-10-23,In Transit
SHP30084,ORD20093,WH009,XPO Logistics,2023-10-17,Lost
SHP30060,ORD20013,WH003,BlueDart,2023-09-22,Out for Delivery
SHP30088,ORD20075,WH002,Amazon Logistics,2023-10-28,Delayed
SHP30058,ORD20070,WH010,Amazon Logistics,2023-10-10,Delivered
SHP30061,ORD20048,WH009,Delhivery,2023-09-17,Delivered
SHP30000,ORD20027,WH004,Delhivery,2023-08-05,Lost
SHP30044,ORD20038,WH010,Amazon Logistics,2023-08-21,In Transit
SHP30034,ORD20071,WH008,XPO Logistics,2023-08-30,Delayed
SHP30061,ORD20073,WH002,UPS,2023-10-21,Lost
SHP30013,ORD20024,WH008,BlueDart,2023-06-27,In Transit
SHP30090,ORD20014,WH002,Delhivery,2023-07-29,Delivered
SHP30055,ORD20068,WH010,BlueDart,2023-08-30,Delayed
SHP30085,ORD20062,WH009,DHL,2023-09-10,Delayed
SHP30074,ORD20003,WH009,DHL,2023-10-06,In Transit
SHP30052,ORD20051,WH005,XPO Logistics,2023-08-18,In Transit
SHP30065,ORD20054,WH006,Kuehne + Nagel,2023-10-16,Delayed
SHP30059,ORD20030,WH004,XPO Logistics,2023-10-20,Delayed
SHP30027,ORD20013,WH001,Kuehne + Nagel,2023-10-23,Delayed
SHP30070,ORD20047,WH008,BlueDart,2023-09-25,In Transit
SHP30020,ORD20029,WH006,XPO Logistics,2023-08-31,In Transit
SHP30020,ORD20046,WH007,Kuehne + Nagel,2023-10-24,Lost
SHP30097,ORD20039,WH004,DHL,2023-09-25,Lost
SHP30017,ORD20029,WH007,XPO Logistics,2023-09-05,Lost
SHP30044,ORD20020,WH003,UPS,2023-10-07,Delayed
SHP30062,ORD20036,WH006,DHL,2023-08-11,Lost
SHP30058,ORD20069,WH010,UPS,2023-10-06,Delivered
SHP30074,ORD20056,WH005,Kuehne + Nagel,2023-08-27,In Transit
SHP30018,ORD20066,WH001,BlueDart,2023-09-27,Delivered
SHP30072,ORD20044,WH001,Amazon Logistics,2023-08-06,Delivered
SHP30037,ORD20035,WH008,DHL,2023-08-25,In Transit
SHP30019,ORD20061,WH005,FedEx,2023-09-15,In Transit
SHP30082,ORD20051,WH009,XPO Logistics,2023-09-28,Delayed
SHP30039,ORD20068,WH005,Amazon Logistics,2023-10-17,In Transit
SHP30038,ORD20000,WH006,Kuehne + Nagel,2023-07-03,Delivered
SHP30083,ORD20066,WH008,XPO Logistics,2023-08-27,Lost
SHP30014,ORD20018,WH008,XPO Logistics,2023-07-10,In Transit
SHP30057,ORD20076,WH009,XPO Logistics,2023-07-28,Delivered
SHP30062,ORD20044,WH002,Delhivery,2023-09-06,Delayed
SHP30074,ORD20059,WH004,DHL,2023-09-24,Out for Delivery
SHP30080,ORD20024,WH007,Amazon Logistics,2023-08-01,Delayed
SHP30030,ORD20076,WH007,Kuehne + Nagel,2023-10-23,Delayed
SHP30085,ORD20005,WH009,XPO Logistics,2023-10-15,In Transit
SHP30057,ORD20049,WH008,Delhivery,2023-08-22,In Transit
SHP30068,ORD20090,WH004,FedEx,2023-09-19,Delayed
SHP30068,ORD20065,WH003,DHL,2023-10-11,Delayed
SHP30023,ORD20085,WH007,FedEx,2023-08-19,Delivered
SHP30010,ORD20087,WH005,BlueDart,2023-10-22,In Transit
SHP30004,ORD20099,WH001,DHL,2023-10-19,Lost
SHP30077,ORD20022,WH005,XPO Logistics,2023-10-02,Out for Delivery
SHP30067,ORD20006,WH004,BlueDart,2023-10-29,Lost
SHP30079,ORD20067,WH008,BlueDart,2023-09-18,Delivered
SHP30085,ORD20036,WH010,UPS,2023-07-21,In Transit
SHP30083,ORD20099,WH007,Amazon Logistics,2023-10-10,Delivered
SHP30019,ORD20034,WH010,BlueDart,2023-09-30,Delayed
SHP30024,ORD20096,WH004,UPS,2023-09-19,Lost
SHP30010,ORD20044,WH010,BlueDart,2023-07-19,In Transit
SHP30091,ORD20091,WH008,BlueDart,2023-10-19,Delayed
SHP30045,ORD20083,WH009,Kuehne + Nagel,2023-09-16,Out for Delivery
SHP30072,ORD20008,WH006,Delhivery,2023-09-16,Out for Delivery
SHP30026,ORD20069,WH006,Delhivery,2023-10-03,In Transit
SHP30043,ORD20074,WH007,DHL,2023-09-06,Delivered
SHP30033,ORD20018,WH004,Delhivery,2023-08-12,In Transit
SHP30014,ORD20053,WH008,UPS,2023-10-28,Out for Delivery
SHP30014,ORD20027,WH007,Amazon Logistics,2023-08-17,Lost
SHP30026,ORD20048,WH010,Delhivery,2023-09-04,Delivered
SHP30042,ORD20055,WH010,DHL,2023-08-24,In Transit
SHP30026,ORD20094,WH005,XPO Logistics,2023-10-24,In Transit
SHP30094,ORD20080,WH002,UPS,2023-07-07,Delayed
SHP30005,ORD20057,WH007,Kuehne + Nagel,2023-08-22,Out for Delivery
SHP30036,ORD20096,WH006,Delhivery,2023-09-08,Delayed
SHP30094,ORD20048,WH002,BlueDart,2023-10-27,Delayed
SHP30033,ORD20008,WH003,DHL,2023-10-02,In Transit
SHP30007,ORD20061,WH004,Delhivery,2023-10-05,Lost
SHP30002,ORD20045,WH008,XPO Logistics,2023-08-31,In Transit
SHP30093,ORD20067,WH001,UPS,2023-10-10,In Transit
SHP30035,ORD20098,WH009,Amazon Logistics,2023-10-15,Delayed
SHP30007,ORD20001,WH001,FedEx,2023-10-14,Delayed
SHP30056,ORD20035,WH009,DHL,2023-08-21,In Transit
SHP30085,ORD20024,WH010,UPS,2023-09-29,Out for Delivery
SHP30023,ORD20052,WH006,Kuehne + Nagel,2023-10-23,Lost
SHP30058,ORD20003,WH004,FedEx,2023-08-16,Delivered
SHP30042,ORD20053,WH006,Kuehne + Nagel,2023-10-29,Delayed
SHP30017,ORD20027,WH002,XPO Logistics,2023-08-29,Delivered
SHP30069,ORD20096,WH005,FedEx,2023-09-14,Out for Delivery
SHP30092,ORD20014,WH003,Kuehne + Nagel,2023-10-04,Out for Delivery
SHP30054,ORD20018,WH001,FedEx,2023-10-22,Out for Delivery
SHP30072,ORD20029,WH003,XPO Logistics,2023-09-19,Delayed
SHP30023,ORD20070,WH004,UPS,2023-09-28,Delivered
SHP30064,ORD20082,WH004,UPS,2023-10-26,Out for Delivery
SHP30019,ORD20047,WH007,DHL,2023-10-23,Out for Delivery
SHP30001,ORD20065,WH001,Amazon Logistics,2023-10-12,Delayed
SHP30009,ORD20089,WH010,XPO Logistics,2023-10-24,In Transit
SHP30013,ORD20069,WH009,Delhivery,2023-07-25,Lost
SHP30000,ORD20098,WH005,BlueDart,2023-07-20,Delayed
SHP30092,ORD20040,WH008,Amazon Logistics,2023-10-05,Delivered
SHP30064,ORD20099,WH004,Delhivery,2023-10-26,In Transit
SHP30070,ORD20062,WH010,Amazon Logistics,2023-08-12,Lost
SHP30048,ORD20098,WH010,BlueDart,2023-10-24,Lost
SHP30002,ORD20032,WH008,DHL,2023-09-17,Lost
SHP30036,ORD20073,WH008,XPO Logistics,2023-10-04,Out for Delivery
SHP30098,ORD20099,WH008,UPS,2023-10-01,Out for Delivery
SHP30019,ORD20007,WH009,FedEx,2023-10-18,Lost
SHP30031,ORD20070,WH005,DHL,2023-09-25,Out for Delivery
SHP30034,ORD20001,WH007,UPS,2023-10-24,Out for Delivery
SHP30089,ORD20085,WH005,DHL,2023-07-17,Delayed
SHP30003,ORD20077,WH004,UPS,2023-08-03,In Transit
SHP30042,ORD20085,WH003,XPO Logistics,2023-07-20,In Transit
SHP30066,ORD20095,WH002,Kuehne + Nagel,2023-09-15,Delayed
SHP30061,ORD20058,WH002,Kuehne + Nagel,2023-09-02,In Transit
SHP30033,ORD20091,WH007,UPS,2023-09-25,Lost
SHP30019,ORD20011,WH002,Kuehne + Nagel,2023-08-18,In Transit
SHP30052,ORD20061,WH003,DHL,2023-09-22,Delivered
SHP30032,ORD20027,WH001,Amazon Logistics,2023-08-26,In Transit
SHP30094,ORD20026,WH005,Amazon Logistics,2023-07-12,In Transit
SHP30085,ORD20052,WH003,UPS,2023-09-14,Lost
SHP30088,ORD20096,WH001,BlueDart,2023-10-17,In Transit
SHP30010,ORD20026,WH002,UPS,2023-06-14,Delivered
SHP30017,ORD20063,WH004,DHL,2023-10-18,Out for Delivery
SHP30040,ORD20097,WH006,DHL,2023-10-10,Out for Delivery
SHP30057,ORD20041,WH005,XPO Logistics,2023-09-17,Delayed
SHP30059,ORD20083,WH003,UPS,2023-10-11,Lost
SHP30071,ORD20033,WH004,Delhivery,2023-10-29,Out for Delivery
SHP30049,ORD20083,WH010,BlueDart,2023-09-28,Out for Delivery
SHP30018,ORD20085,WH009,FedEx,2023-10-09,Delayed
SHP30031,ORD20065,WH007,XPO Logistics,2023-10-26,Delayed
SHP30020,ORD20017,WH009,UPS,2023-10-15,Lost
SHP30077,ORD20016,WH007,Delhivery,2023-09-10,Out for Delivery
SHP30005,ORD20056,WH006,UPS,2023-08-01,In Transit
SHP30059,ORD20072,WH001,DHL,2023-10-12,In Transit
SHP30057,ORD20051,WH004,FedEx,2023-10-12,Lost
SHP30066,ORD20037,WH004,XPO Logistics,2023-10-11,Delivered
SHP30026,ORD20009,WH006,DHL,2023-10-06,Delivered
SHP30098,ORD20043,WH010,FedEx,2023-09-02,Delayed
SHP30051,ORD20093,WH010,BlueDart,2023-07-28,Delayed
SHP30037,ORD20015,WH004,Amazon Logistics,2023-08-18,Lost
SHP30055,ORD20043,WH001,Amazon Logistics,2023-10-20,Lost
SHP30099,ORD20075,WH004,FedEx,2023-10-29,Delayed
SHP30028,ORD20033,WH007,DHL,2023-10-25,Delivered
SHP30046,ORD20067,WH004,DHL,2023-09-23,Delivered
SHP30099,ORD20011,WH005,BlueDart,2023-09-20,Out for Delivery
SHP30060,ORD20023,WH003,FedEx,2023-10-30,In Transit
SHP30052,ORD20070,WH008,Delhivery,2023-09-28,In Transit
SHP30069,ORD20047,WH009,DHL,2023-09-28,In Transit
SHP30059,ORD20036,WH001,UPS,2023-08-30,Delivered
SHP30083,ORD20021,WH009,Kuehne + Nagel,2023-10-16,Delayed
SHP30050,ORD20053,WH005,BlueDart,2023-09-22,Delayed
SHP30073,ORD20052,WH009,Kuehne + Nagel,2023-10-01,In Transit
SHP30076,ORD20050,WH006,XPO Logistics,2023-10-05,In Transit
SHP30098,ORD20013,WH002,Kuehne + Nagel,2023-10-12,Lost
SHP30088,ORD20016,WH001,DHL,2023-07-27,Delivered
SHP30092,ORD20017,WH005,UPS,2023-08-16,In Transit
SHP30048,ORD20093,WH005,Delhivery,2023-08-13,Out for Delivery
SHP30040,ORD20092,WH007,Kuehne + Nagel,2023-10-18,Out for Delivery
SHP30012,ORD20087,WH001,Delhivery,2023-10-21,Lost
SHP30029,ORD20088,WH005,XPO Logistics,2023-07-19,Delivered
SHP30069,ORD20079,WH010,Amazon Logistics,2023-10-14,Delayed
SHP30045,ORD20083,WH007,FedEx,2023-09-24,Lost
SHP30060,ORD20035,WH005,UPS,2023-10-11,Lost
SHP30057,ORD20019,WH010,FedEx,2023-07-01,Lost
SHP30034,ORD20014,WH004,Kuehne + Nagel,2023-09-18,Out for Delivery
SHP30087,ORD20030,WH005,FedEx,2023-10-22,Delivered
SHP30078,ORD20053,WH002,FedEx,2023-10-20,Out for Delivery
SHP30013,ORD20038,WH005,FedEx,2023-10-11,Lost
SHP30046,ORD20091,WH004,Delhivery,2023-10-27,Lost
SHP30081,ORD20027,WH009,XPO Logistics,2023-07-14,Delivered
SHP30092,ORD20092,WH004,Delhivery,2023-06-20,Delayed
SHP30065,ORD20007,WH007,Amazon Logistics,2023-07-17,In Transit
SHP30012,ORD20038,WH003,FedEx,2023-07-06,Out for Delivery
SHP30029,ORD20065,WH008,DHL,2023-09-25,Lost
SHP30067,ORD20033,WH009,Delhivery,2023-10-27,Lost
SHP30096,ORD20008,WH004,FedEx,2023-09-30,Lost
SHP30035,ORD20000,WH008,Kuehne + Nagel,2023-06-24,Out for Delivery
SHP30087,ORD20056,WH002,XPO Logistics,2023-09-14,Lost
SHP30099,ORD20043,WH005,Amazon Logistics,2023-10-21,Out for Delivery
SHP30061,ORD20013,WH008,Kuehne + Nagel,2023-10-08,Out for Delivery
SHP30047,ORD20006,WH001,UPS,2023-06-21,In Transit
SHP30033,ORD20056,WH009,DHL,2023-08-24,In Transit
SHP30033,ORD20087,WH008,Kuehne + Nagel,2023-10-22,In Transit
SHP30098,ORD20093,WH007,DHL,2023-08-21,Out for Delivery
SHP30092,ORD20053,WH004,BlueDart,2023-10-21,Out for Delivery
SHP30027,ORD20000,WH005,XPO Logistics,2023-09-15,Out for Delivery
SHP30068,ORD20026,WH009,DHL,2023-08-05,Out for Delivery
SHP30037,ORD20050,WH001,Delhivery,2023-09-07,Lost
SHP30084,ORD20031,WH010,UPS,2023-10-16,Delayed
SHP30091,ORD20089,WH007,Delhivery,2023-10-10,Delayed
SHP30000,ORD20048,WH007,DHL,2023-10-17,Delivered
SHP30054,ORD20003,WH001,DHL,2023-07-26,In Transit
SHP30049,ORD20075,WH003,XPO Logistics,2023-09-30,Delayed
SHP30047,ORD20076,WH005,Delhivery,2023-09-17,In Transit
SHP30024,ORD20037,WH010,XPO Logistics,2023-10-21,In Transit
SHP30048,ORD20052,WH005,Delhivery,2023-08-30,Delivered
SHP30067,ORD20006,WH002,Delhivery,2023-06-25,Delivered
SHP30020,ORD20082,WH006,XPO Logistics,2023-09-06,In Transit
SHP30084,ORD20060,WH006,UPS,2023-08-30,Lost
SHP30093,ORD20077,WH008,DHL,2023-10-04,Lost
SHP30027,ORD20043,WH007,Kuehne + Nagel,2023-09-21,Delivered
SHP30091,ORD20055,WH002,FedEx,2023-10-07,In Transit
SHP30056,ORD20017,WH002,FedEx,2023-10-15,Delivered
SHP30058,ORD20069,WH004,DHL,2023-09-27,Lost
SHP30039,ORD20031,WH001,Amazon Logistics,2023-07-03,In Transit
SHP30029,ORD20022,WH004,FedEx,2023-07-26,Out for Delivery
SHP30048,ORD20058,WH010,Kuehne + Nagel,2023-08-07,Out for Delivery
SHP30046,ORD20019,WH008,DHL,2023-07-09,Delivered
SHP30033,ORD20023,WH007,UPS,2023-08-30,Delayed
SHP30083,ORD20067,WH002,Delhivery,2023-09-09,Out for Delivery
SHP30071,ORD20034,WH005,XPO Logistics,2023-09-09,Delayed
SHP30007,ORD20060,WH003,UPS,2023-10-19,In Transit
SHP30062,ORD20059,WH005,Kuehne + Nagel,2023-08-30,Delivered
SHP30061,ORD20064,WH006,BlueDart,2023-09-21,Delivered
SHP30092,ORD20085,WH008,Delhivery,2023-08-21,In Transit
SHP30056,ORD20031,WH002,Kuehne + Nagel,2023-06-28,Lost
SHP30033,ORD20068,WH002,DHL,2023-09-16,Out for Delivery
SHP30015,ORD20054,WH002,DHL,2023-09-25,Out for Delivery
SHP30048,ORD20061,WH009,Amazon Logistics,2023-09-23,Delivered
SHP30051,ORD20052,WH002,Delhivery,2023-09-22,Lost
SHP30088,ORD20066,WH009,Delhivery,2023-08-07,Out for Delivery
SHP30088,ORD20025,WH007,UPS,2023-09-27,Delivered
SHP30072,ORD20058,WH008,UPS,2023-10-04,Delayed
SHP30039,ORD20012,WH008,DHL,2023-10-27,Delivered
SHP30006,ORD20000,WH003,Kuehne + Nagel,2023-09-21,Delayed
SHP30025,ORD20018,WH007,Delhivery,2023-07-08,Out for Delivery
SHP30043,ORD20007,WH010,DHL,2023-07-08,Delivered
SHP30067,ORD20034,WH004,XPO Logistics,2023-09-01,In Transit
SHP30012,ORD20025,WH001,Amazon Logistics,2023-08-09,Delivered
SHP30036,ORD20010,WH008,Delhivery,2023-10-22,Out for Delivery
SHP30095,ORD20061,WH007,Amazon Logistics,2023-10-11,In Transit
SHP30007,ORD20058,WH001,BlueDart,2023-08-21,In Transit
SHP30031,ORD20032,WH006,Amazon Logistics,2023-09-16,Delayed
SHP30050,ORD20040,WH009,XPO Logistics,2023-10-21,Delivered
SHP30074,ORD20062,WH002,DHL,2023-10-12,Delayed
SHP30098,ORD20072,WH009,XPO Logistics,2023-09-29,Delivered
SHP30018,ORD20020,WH002,XPO Logistics,2023-10-04,Delivered
SHP30022,ORD20079,WH005,Delhivery,2023-09-01,Out for Delivery
SHP30060,ORD20084,WH009,Kuehne + Nagel,2023-08-03,Out for Delivery
SHP30096,ORD20074,WH010,Delhivery,2023-10-26,In Transit
SHP30096,ORD20082,WH005,Kuehne + Nagel,2023-09-17,Lost
SHP30009,ORD20029,WH002,UPS,2023-10-14,Lost
SHP30070,ORD20084,WH008,Amazon Logistics,2023-08-31,In Transit
SHP30039,ORD20031,WH004,XPO Logistics,2023-09-20,Delivered
SHP30000,ORD20033,WH001,UPS,2023-09-18,Lost
SHP30085,ORD20010,WH006,FedEx,2023-09-10,In Transit
SHP30064,ORD20036,WH005,Amazon Logistics,2023-08-29,Delayed
SHP30047,ORD20065,WH005,BlueDart,2023-09-16,Out for Delivery
SHP30092,ORD20074,WH009,DHL,2023-08-21,In Transit
SHP30026,ORD20010,WH009,BlueDart,2023-10-10,Delayed
SHP30011,ORD20026,WH004,FedEx,2023-07-04,Delivered
SHP30068,ORD20050,WH005,DHL,2023-09-18,Out for Delivery
SHP30016,ORD20042,WH003,Amazon Logistics,2023-10-09,In Transit
SHP30016,ORD20086,WH004,Delhivery,2023-09-04,In Transit
SHP30069,ORD20052,WH010,FedEx,2023-09-08,Out for Delivery
SHP30010,ORD20034,WH002,Amazon Logistics,2023-10-05,Out for Delivery
SHP30057,ORD20099,WH003,UPS,2023-09-18,Lost
SHP30082,ORD20028,WH005,BlueDart,2023-09-02,Out for Delivery
SHP30003,ORD20091,WH003,XPO Logistics,2023-10-21,Lost
SHP30050,ORD20092,WH001,Delhivery,2023-08-27,In Transit
SHP30023,ORD20088,WH002,DHL,2023-07-14,Out for Delivery
SHP30086,ORD20026,WH006,DHL,2023-08-22,Lost
SHP30051,ORD20038,WH001,BlueDart,2023-10-24,Out for Delivery
SHP30039,ORD20084,WH001,UPS,2023-08-15,Lost
SHP30015,ORD20063,WH007,UPS,2023-08-26,In Transit
SHP30016,ORD20012,WH010,BlueDart,2023-10-21,Out for Delivery
SHP30074,ORD20053,WH009,BlueDart,2023-08-30,Lost
SHP30034,ORD20012,WH002,Amazon Logistics,2023-09-18,Delivered
SHP30030,ORD20064,WH002,DHL,2023-09-17,Out for Delivery
SHP30069,ORD20046,WH009,FedEx,2023-08-02,In Transit
SHP30049,ORD20097,WH004,FedEx,2023-09-07,Delivered
SHP30015,ORD20069,WH002,FedEx,2023-09-02,Out for Delivery
SHP30043,ORD20089,WH005,Delhivery,2023-10-05,Lost
SHP30028,ORD20055,WH003,XPO Logistics,2023-09-08,Lost
SHP30033,ORD20000,WH007,UPS,2023-08-27,Delivered
SHP30022,ORD20070,WH006,Amazon Logistics,2023-10-25,Delivered
SHP30016,ORD20090,WH005,Amazon Logistics,2023-06-18,Delayed
SHP30029,ORD20046,WH004,Kuehne + Nagel,2023-10-23,Delivered
SHP30099,ORD20008,WH008,Kuehne + Nagel,2023-10-06,Delivered
SHP30049,ORD20078,WH007,Delhivery,2023-08-29,In Transit
SHP30063,ORD20060,WH007,Amazon Logistics,2023-10-25,Lost
SHP30089,ORD20063,WH008,UPS,2023-06-29,Delivered
SHP30028,ORD20076,WH003,DHL,2023-08-22,In Transit
SHP30065,ORD20077,WH002,UPS,2023-07-12,Delivered
SHP30001,ORD20023,WH005,Amazon Logistics,2023-10-22,In Transit
SHP30074,ORD20009,WH004,FedEx,2023-10-11,Delivered
SHP30032,ORD20010,WH002,DHL,2023-09-01,Lost
SHP30080,ORD20028,WH009,Amazon Logistics,2023-09-29,Delayed
SHP30025,ORD20009,WH009,BlueDart,2023-10-11,In Transit
SHP30000,ORD20014,WH008,UPS,2023-08-06,Out for Delivery
SHP30081,ORD20040,WH005,Amazon Logistics,2023-10-28,Delivered
SHP30079,ORD20001,WH003,DHL,2023-10-16,Delivered
SHP30092,ORD20054,WH009,FedEx,2023-10-27,Delivered
SHP30074,ORD20054,WH005,XPO Logistics,2023-10-14,Delivered
SHP30018,ORD20032,WH003,UPS,2023-07-21,Delayed
SHP30053,ORD20052,WH008,FedEx,2023-10-29,In Transit
SHP30053,ORD20092,WH010,Amazon Logistics,2023-08-06,Delivered
SHP30047,ORD20029,WH010,Kuehne + Nagel,2023-10-17,Out for Delivery
SHP30014,ORD20062,WH003,BlueDart,2023-10-02,In Transit
SHP30094,ORD20045,WH009,FedEx,2023-09-02,In Transit
SHP30006,ORD20002,WH004,DHL,2023-10-08,Delayed
SHP30080,ORD20059,WH003,UPS,2023-08-17,Delivered
SHP30083,ORD20037,WH001,BlueDart,2023-10-05,Out for Delivery
SHP30061,ORD20004,WH004,BlueDart,2023-08-31,Delayed
SHP30005,ORD20055,WH001,Amazon Logistics,2023-10-15,Delivered
SHP30016,ORD20065,WH009,UPS,2023-09-27,Delivered
SHP30045,ORD20040,WH004,Amazon Logistics,2023-10-06,Out for Delivery
SHP30008,ORD20056,WH001,Delhivery,2023-09-17,Delayed
SHP30078,ORD20042,WH007,Delhivery,2023-10-07,Out for Delivery
SHP30056,ORD20013,WH009,BlueDart,2023-09-24,Delayed
SHP30014,ORD20059,WH006,Kuehne + Nagel,2023-10-18,Out for Delivery
SHP30063,ORD20039,WH002,Delhivery,2023-09-05,Lost
SHP30001,ORD20004,WH007,XPO Logistics,2023-07-26,Delayed
SHP30064,ORD20080,WH007,BlueDart,2023-07-09,Out for Delivery
SHP30050,ORD20000,WH004,UPS,2023-06-28,Delivered
SHP30049,ORD20016,WH006,Delhivery,2023-08-18,Delivered
SHP30014,ORD20063,WH005,BlueDart,2023-10-16,Delivered
SHP30049,ORD20061,WH006,BlueDart,2023-09-04,In Transit
SHP30026,ORD20031,WH006,UPS,2023-07-09,In Transit
SHP30090,ORD20042,WH001,UPS,2023-09-07,In Transit
SHP30006,ORD20046,WH005,Delhivery,2023-08-15,Out for Delivery
SHP30022,ORD20059,WH008,UPS,2023-10-23,In Transit
SHP30028,ORD20052,WH007,Delhivery,2023-10-17,Lost
SHP30059,ORD20028,WH010,Kuehne + Nagel,2023-09-16,Delayed
SHP30054,ORD20050,WH009,Amazon Logistics,2023-08-29,Delayed
SHP30077,ORD20059,WH001,UPS,2023-08-27,Out for Delivery
SHP30045,ORD20071,WH004,Delhivery,2023-10-11,Delayed
SHP30055,ORD20041,WH009,DHL,2023-09-27,Delivered
SHP30055,ORD20072,WH003,DHL,2023-10-20,Delayed
SHP30018,ORD20023,WH001,Delhivery,2023-10-28,Out for Delivery
SHP30036,ORD20035,WH004,Amazon Logistics,2023-10-17,In Transit
SHP30097,ORD20001,WH010,FedEx,2023-10-09,Out for Delivery
SHP30023,ORD20078,WH002,Kuehne + Nagel,2023-09-08,Delayed
SHP30024,ORD20064,WH009,DHL,2023-09-01,In Transit
SHP30045,ORD20077,WH007,Amazon Logistics,2023-10-12,Delivered
SHP30066,ORD20075,WH007,Kuehne + Nagel,2023-10-16,Delivered
SHP30012,ORD20075,WH009,XPO Logistics,2023-10-22,Out for Delivery
SHP30027,ORD20091,WH005,FedEx,2023-10-07,Delivered
SHP30082,ORD20080,WH006,XPO Logistics,2023-08-08,Delivered
SHP30017,ORD20074,WH002,DHL,2023-09-20,In Transit
SHP30049,ORD20050,WH004,DHL,2023-08-04,Delivered
